B;file:Zaborowski_Polona.djvu;Egzemplarz B; ※ wydanie 2
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1225,1259,80,84&page=3;; ※ et
mutũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=561,1218,130,57&page=3;;※ mutum
etiã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=727,1213,103,68&page=3;;※ etiam
ſeq̃nte;file:Zaborowski_Polona.djvu?djvuopts=&highlight=943,1211,157,66&page=3;;※ sequente
ꝗdã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1168,1193,93,88&page=3;;※ quidam
antiquoꝶ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1241,1211,236,59&page=3;Urbańczyk:antiqui;※ antiquorum
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=514,1159,104,72&page=3;;※ cum
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=764,1156,97,62&page=3;;※ vero
hmõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1227,1154,121,66&page=3;;※ huiusmodi
raucũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=427,1097,143,64&page=3;;※ raucum
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=675,1093,127,66&page=3;;※ sonum
gr̃a;file:Zaborowski_Polona.djvu?djvuopts=&highlight=955,1077,100,91&page=3;;※ gratia
ꝗs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1066,1088,75,75&page=3;;※ quis
huiꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=325,1036,98,70&page=3;;※ huius
diiõis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=534,1027,168,79&page=3;;※ dictionis
oratiõe;file:Zaborowski_Polona.djvu?djvuopts=&highlight=975,1034,175,61&page=3;;※ oratione
ꝑcuſſit;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1400,1022,166,78&page=3;;※ percussit
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=741,981,109,48&page=3;;※ autem
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1357,959,45,86&page=3;;※ per
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=386,918,89,68&page=3;; ※ et
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=859,925,50,59&page=3;; ※ id est
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1148,918,59,61&page=3;; ※ id est
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1509,925,86,59&page=3;;※ cum
hm̃oi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1109,861,127,70&page=3;;※ huiusmodi
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=582,804,129,62&page=3;;※ sonum
ꝓlatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1009,797,159,62&page=3;;※ perlatum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=402,754,68,55&page=3;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=725,747,68,71&page=3;; ※ et
4;file:Zaborowski_Polona.djvu?djvuopts=&highlight=770,2688,57,66&page=4;;※ strony B
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=770,2688,57,66&page=4;;※ qui
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1541,2679,50,68&page=4;; ※ id est
dñs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1602,2679,78,79&page=4;;※ dominus
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1755,2672,63,61&page=4;; ※ id est
huiꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=730,2635,118,71&page=4;;※ huius
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=493,2572,59,77&page=4;; ※ et
ſignificatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=555,2576,243,68&page=4;;※ significatum
dic‍tionũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=816,2567,189,75&page=4;;※ dictionum
exm̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1391,2554,114,79&page=4;;※ exemplum
erũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=632,2458,113,71&page=4;;※ erunt
dic‍tiões;file:Zaborowski_Polona.djvu?djvuopts=&highlight=832,2449,173,82&page=4;;※ dictiones
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1218,2381,96,75&page=4; Urbańczyk:que?;※ quae
dicit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1432,2381,100,73&page=4;;※ dicitur
tribulũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1532,2379,173,61&page=4;;※ tribulum
ſcribat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=870,2336,150,84&page=4;;※ scribatur
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1002,2322,71,73&page=4;;※ per
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1093,2338,68,59&page=4;;※ cum
