B;file:Zaborowski_Polona.djvu;Egzemplarz B; ※ wydanie 2
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=827,1045,41,64&page=7;; ※ et
exilẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=866,1047,125,48&page=7;;※ exilem
diiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=286,979,221,66&page=7;;※ dictionibus
terciũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=845,979,135,68&page=7;;※ tercium
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=973,975,109,77&page=7;;※ sonum
mollẽ:;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1089,988,136,48&page=7;;※ mollem
quẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1223,977,91,70&page=7;;※ quem
gręca;file:Zaborowski_Polona.djvu?djvuopts=&highlight=502,904,134,68&page=7;; ※ graeca
cõſona;file:Zaborowski_Polona.djvu?djvuopts=&highlight=632,920,154,73&page=7;;※ consona
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1245,920,62,73&page=7;; ※ id est
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1389,906,63,82&page=7;;※ quod
põt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=373,866,72,59&page=7;;※ potest
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1064,859,191,70&page=7;;※ litterarum
molliũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1248,863,161,66&page=7;;※ mollium
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=584,811,66,48&page=7;; ※ id est
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=802,802,53,73&page=7;;※ quod
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=218,734,68,70&page=7;; ※ et
8;file:Zaborowski_Polona.djvu?djvuopts=&highlight=720,2688,162,63&page=8;;※ strony B
duplicẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=720,2688,162,63&page=8;;※ duplicem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1005,2681,131,84&page=8;;※ sonum
vnũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1125,2685,102,57&page=8;;※ vnum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1359,2679,61,61&page=8;; ※ et
cõmunẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=561,2624,207,70&page=8;;※ communem
alterũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=759,2638,150,68&page=8;;※ alterum
impropriu:̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=900,2620,257,74&page=8;;※ improprium
quẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1150,2624,111,64&page=8;;※ quem
durarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1066,2563,166,68&page=8;;※ durarum
impropriarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1305,2563,290,63&page=8;;※ impropriarum
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1586,2556,196,68&page=8;;※ litterarum
pũo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=386,2515,153,55&page=8;;※ puncto
ſuꝑius;file:Zaborowski_Polona.djvu?djvuopts=&highlight=534,2517,157,59&page=8;;※ superius
ſolent;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1007,2510,125,64&page=8;;※ solent
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1227,2497,82,73&page=8;M+F1C8;※ quod
vnũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1548,2445,88,54&page=8;;※ Vnum
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1634,2431,148,79&page=8;;※ proprium
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=475,2397,66,54&page=8;; ※ et
excuorũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1455,2372,234,77&page=8;;※ excussorum
&c̈.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=580,2345,84,52&page=8;; ※ etc.
aliũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=659,2340,107,48&page=8;;※ alium
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=766,2338,114,63&page=8;;※ durum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=875,2331,52,66&page=8;; ※ et
impropriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=923,2329,245,68&page=8;;※ improprium
que;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1184,2331,93,64&page=8;M+F1C8;※ quem
ꝗdam;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1261,2317,150,84&page=8;;※ quidam
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1223,2270,61,70&page=8;; ※ et
ꝗa;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1495,2249,60,75&page=8;;※ quia
ꝗdã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=850,2206,105,77&page=8;;※ quidam
talẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=948,2213,86,77&page=8;;※ talem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1032,2215,118,68&page=8;;※ sonum
ſcribũit;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1145,2217,160,53&page=8;;※ scribunt
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1300,2195,48,79&page=8;;※ per
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=595,2176,57,50&page=8;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=948,2156,54,34&page=8;; ※ id est
omniũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=993,2158,150,75&page=8;;※ omnium
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1407,2145,73,70&page=8;;※ tamen
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1686,2129,62,82&page=8;;※ per
aliarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=959,2102,146,65&page=8;;※ aliarum
litteraꝶ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1082,2095,182,68&page=8;;※ litterarum
durarꝶ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1280,2095,145,59&page=8;;※ durarum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=482,2049,38,55&page=8;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1052,2040,71,62&page=8;; ※ et
ſonus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1264,2033,138,82&page=8;;※ sonus
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1561,1999,64,96&page=8;;※ qui
etiã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1600,2022,95,73&page=8;;※ etiam
aliarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=439,1986,161,56&page=8;;※ aliarum
molliũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=577,1979,155,75&page=8;;※ mollium
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=734,1981,177,68&page=8;;※ litterarum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1452,1967,84,80&page=8;; ※ et
diiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1200,1915,211,71&page=8;;※ dictionibus
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1407,1915,68,57&page=8;;※ non
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1477,1911,80,70&page=8;;※ enim
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1302,1856,73,64&page=8;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1695,1838,82,70&page=8;; ※ et
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=889,1802,75,66&page=8;;※ tamen
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=961,1802,196,79&page=8;;※ dictionibus
cõfone;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1286,1788,175,68&page=8;;※ consone
ſepenuero;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1436,1788,246,68&page=8;;※ sepenumero
vñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=568,1743,66,70&page=8;;※ vnde
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=611,1738,55,73&page=8;;※ per
ſillabã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=709,1740,134,73&page=8;;※ sillabam
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=850,1745,80,68&page=8;;※ non
quẽadmodũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1007,1743,279,68&page=8;;※ quemadmodum
ꝙ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1495,1713,69,84&page=8;; ※ que
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=357,1679,88,91&page=8;; ※ per
ſepenũero;file:Zaborowski_Polona.djvu?djvuopts=&highlight=534,1674,236,75&page=8;;※ sepenumero
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1207,1686,59,63&page=8;;※ cum
fequẽti;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1255,1672,170,80&page=8;;※ sequenti
diiõe;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1443,1683,143,62&page=8;;※ dictione
legit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1575,1677,123,56&page=8;;※ legitur
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1216,1611,136,77&page=8;;※ ponitur
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1343,1615,107,68&page=8;;※ autem
regularitᷣ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1450,1611,200,77&page=8;;※ regulariter
diiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1684,1611,96,68&highlight=382,1579,198,52&page=8;;※ dictionibus
cõſona;file:Zaborowski_Polona.djvu?djvuopts=&highlight=786,1565,159,64&page=8;;※ consona
ſequẽte;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1289,1559,166,63&page=8;;※ sequente
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1450,1563,82,64&page=8;;※ cum
eadẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=584,1513,123,61&page=8;;※ eadem
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=991,1504,59,55&page=8;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1355,1499,52,57&page=8;; ※ id est
tuoꝶ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1398,1499,127,60&page=8;;※ tuorum
exm̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1534,1490,114,71&page=8;;※ exemplum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=593,1461,59,52&page=8;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1211,1449,57,60&page=8;; ※ id est
simiꝉr;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1405,1440,156,66&page=8;;※ similiter
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=759,1386,57,73&page=8;;※ cum
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=964,1386,59,70&page=8;;※ tamen
conſillabicũ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1252,1384,275,70&page=8;;※ consillabicum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1705,1384,72,61&page=8;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=561,1343,71,45&page=8;; ※ id est
verborũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=609,1334,193,63&page=8;;※ verborum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=884,1331,71,57&page=8;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1193,1318,71,70&page=8;; ※ id est
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1484,1318,96,61&page=8;;※ autem
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=973,1275,50,52&page=8;; ※ id est
duplicẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=486,1220,171,68&page=8;;※ duplicem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=780,1213,131,68&page=8;;※ sonum
vnũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=895,1218,116,66&page=8;;※ vnum
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=984,1204,146,61&page=8;;※ proprium
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1136,1190,41,82&page=8;;※ qui
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1175,1209,59,66&page=8;; ※ et
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1555,1202,190,75&page=8;;※ dictionibus
impropriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=511,1152,250,68&page=8;;※ improprium
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=748,1152,52,61&page=8;;※ qui
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=852,1154,132,66&page=8;;※ durum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=959,1152,66,70&page=8;;※ et
mollẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1023,1152,143,66&page=8;;※ mollem
partit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1164,1152,122,66&page=8;;※ partitur
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1080,1097,52,57&page=8;; ※ id est
duplicẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=609,1038,168,71&page=8;;※ duplicem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=882,1025,129,79&page=8;;※ sonum
propriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1018,1029,191,64&page=8;;※ proprium
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1191,1022,64,73&page=8;; ※ et
impropriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1250,1034,239,57&page=8;;※ improprium
ꝓpriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,1020,143,64&page=8;;※ proprium
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=632,977,77,64&page=8;; ※ id est
impropriũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=820,963,266,84&page=8;;※ improprium
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1459,961,114,77&page=8;;※ durum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=386,938,48,53&page=8;; ※ et
mollẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=507,929,129,57&page=8;;※ mollem
Cauendũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=464,861,204,80&page=8;;※ Cauendum
qͦ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=668,859,80,75&page=8;;※ quoque
ponant᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1336,854,155,75&page=8;;※ ponantur
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1486,857,66,61&page=8;; ※ et
cõurrſo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1559,845,182,75&page=8;;※ conuerso
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=841,797,79,80&page=8;; ※ et
diiõe;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1314,795,163,68&page=8;;※ dictione
oꝑant᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1459,793,171,70&page=8;;※ operantur
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1684,795,89,59&page=8;;※ non
latinaſ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=945,725,185,77&page=8;;※ latinasque
9;file:Zaborowski_Polona.djvu?djvuopts=&highlight=616,2669,189,66&page=9;;※ strony B
diionũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=616,2669,189,66&page=9;;※ dictionum
vulgariũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=800,2672,202,57&page=9;;※ vulgarium
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=980,2669,97,50&page=9;;※ cum
diionũl;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1230,2656,175,52&page=9;;※ dictionum
latinaꝶ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1393,2656,191,59&page=9;;※ latinarum
ſiꝉimõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=250,2617,136,50&highlight=302,2617,80,52&page=9;;※ similimodo
ꝓprio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=661,2601,150,66&page=9;;※ proprio
cõferuãdo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1052,2601,228,73&page=9;;※ conseruando
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1366,2604,84,56&page=9;;※ autem
diũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1161,2542,121,78&page=9;;※ dictum
ꝓ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=195,2485,48,71&page=9;;※ per
vnã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=525,2495,95,56&page=9;;※ vnam
generalẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=625,2483,177,73&page=9;;※ generalem
regulā;file:Zaborowski_Polona.djvu?djvuopts=&highlight=814,2490,163,70&page=9;;※ regulam
gñalis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1325,2485,141,55&page=9;;※ generalis
excedẽtes;file:Zaborowski_Polona.djvu?djvuopts=&highlight=625,2429,209,66&page=9;;※ excedentes
notabilitᷣ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=825,2431,195,59&page=9;;※ notabiliter
ſignent᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1502,2415,84,68&highlight=205,2388,127,52&page=9;;※ signentur
.i,;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1257,2365,63,59&page=9;; ※ id est
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=407,2317,52,66&page=9;sic!; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=743,2324,64,59&page=9;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1059,2317,59,57&page=9;; ※ id est
collũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1116,2313,102,59&page=9;;※ collum
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1311,2315,48,57&page=9;; ※ id est
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=450,2261,82,56&page=9;;※ vero
ſignent᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=750,2256,180,57&page=9;;※ signentur
duobꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=932,2254,141,63&page=9;;※ duobus
pũis.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1068,2247,150,75&page=9;;※ punctis
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1345,2242,73,64&page=9;; ※ id est
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=302,2201,75,69&page=9;;※ quod
foramẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=375,2204,161,70&page=9;;※ foramen
auiũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=541,2199,91,62&page=9;;※ auium
dr̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=643,2201,68,75&page=9;;※ dicitur
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=820,2204,64,61&page=9;; ※ id est
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1114,2181,66,77&page=9;;※ per
gręcū;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1195,2192,137,69&page=9;+2 Urbańczyk: grecum;※ graecum
ſcribant᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1330,2195,168,61&page=9;;※ scribuntur
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1491,2188,109,66&page=9;; ※ et
vtru;file:Zaborowski_Polona.djvu?djvuopts=&highlight=180,2142,156,66&page=9;;※ vtrumque
tamẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=625,2138,130,68&page=9;;※ tamen
primũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=736,2138,144,59&page=9;;※ primum
horũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1125,2133,132,62&page=9;;※ horum
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1261,2142,80,55&page=9;;※ autem
fcribunt᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=198,2086,191,63&page=9;;※ scribuntur
ſimpł'r;file:Zaborowski_Polona.djvu?djvuopts=&highlight=391,2081,139,68&page=9;;※ simpliciter
ꝗdem;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1266,2065,152,59&page=9;;※ quidem
diũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=509,2027,114,68&page=9;;※ dictum
nã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1032,2020,73,59&page=9;;※ nam
pretᷣmio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1193,2011,212,66&page=9;;※ pretermisso
diﬅinguẽdis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=450,1958,264,80&page=9;;※ distinguendis
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1300,1956,57,68&page=9;; ※ et
ſignabunt᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=741,1908,239,66&page=9;;※ signabuntur
ſaltẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=977,1899,103,80&page=9;;※ saltem
obſeruet́;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1277,1897,207,75&page=9;;※ obseruetur
Alphabetũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1100,1849,252,57&page=9;;※ alphabetum
Polonicũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1325,1836,220,75&page=9;;※ polonicum
haꝶ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=473,1672,95,59&page=9;; ※ harum
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=559,1663,202,73&page=9;; ※ litterarum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1214,1665,50,82&page=9;; ※ et
dn̄t;file:Zaborowski_Polona.djvu?djvuopts=&highlight=416,1624,95,69&page=9;;※ debent
prudẽtie;file:Zaborowski_Polona.djvu?djvuopts=&highlight=843,1613,202,66&page=9;;※ prudentie
relinꝗmus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1034,1606,218,71&page=9;relinꝗmns[sic];※ relinquimus
quoꝶ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1282,1599,134,59&page=9;;※ quorum
drñtiam;file:Zaborowski_Polona.djvu?djvuopts=&highlight=152,1554,207,68&page=9;;※ differentiam
nō;file:Zaborowski_Polona.djvu?djvuopts=&highlight=475,1556,66,55&page=9;;※ non
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=832,1556,68,62&page=9;;※ enim
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1420,1536,60,70&page=9;;※ qui
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=614,1486,193,77&page=9;;※ litterarum
differẽtias;file:Zaborowski_Polona.djvu?djvuopts=&highlight=805,1486,225,68&page=9;;※ differentias
relinꝗt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1373,1479,168,68&page=9;;※ relinquit
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=255,1434,59,79&page=9;; ※ et
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=534,1431,71,64&page=9;;※ non
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=736,1429,57,77&page=9;;※ quod
ꝑitilimis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=798,1424,204,64&page=9; 1 ;※ peritissimis
dñica.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1409,1368,141,59&page=9;;※ dominica
amẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=570,1077,105,66&page=9;;※ amen
ſemꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1093,1072,139,68&page=9;;※ semper
tweꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1141,952,120,75&page=9;;※ twego
simbolũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=655,900,197,68&page=9;;※ simbolum
apoﬅolorũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=843,891,246,65&page=9;sic!;※ apostolicum
wechmogα̨ceꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,841,353,70&page=9;;※ wssechmoga̷cego
iedineꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=757,786,173,61&page=9;;※ iedinego
naffeꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1030,779,161,66&page=9;;※ nasego
Põtſkẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1364,704,181,96&page=9;1 PL;※ Pontskim
10;file:Zaborowski_Polona.djvu?djvuopts=&highlight=393,2667,137,68&page=10;;※ strony B
Pilatẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=393,2667,137,68&page=10;PL;※ Pilatem
vkfriʒoũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=541,2672,189,59&page=10;PL;※ vkṙiżouan
trfeceͦ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1539,2672,131,70&page=10;PL;※ t᷑rec̈ego
wfechmogαceͦ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=389,2558,359,50&page=10;;※ wssechmoga̷cego
amẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1600,2435,130,73&page=10;;※ amen
p̃cepta;file:Zaborowski_Polona.djvu?djvuopts=&highlight=595,1259,164,52&page=10;;※ precepta
euãgeiice;file:Zaborowski_Polona.djvu?djvuopts=&highlight=864,1247,209,71&page=10;;※ euangelice
ꝓ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=575,1072,57,73&page=10;;※ pro
exẽplo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=634,1091,141,54&page=10;;※ exemplo
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1111,1072,66,75&page=10;sic!;※ tum
ꝗa;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1164,1068,72,70&page=10;;※ quia
ꝗbuſdã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1291,1072,173,68&page=10;;※ quibusdam
tũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=614,1031,68,55&page=10;;※ tum
cõmunia;file:Zaborowski_Polona.djvu?djvuopts=&highlight=805,1022,200,59&page=10;;※ communia
quẽlibet;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1348,1011,195,77&page=10;;※ quemlibet
dñicam;file:Zaborowski_Polona.djvu?djvuopts=&highlight=534,966,175,72&page=10;;※ dominicam
orationẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=805,966,193,56&page=10;;※ orationem
ſalutatione;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1016,961,236,68&page=10;;※ salutationem
ſemp;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1507,959,138,66&page=10;;※ semper
simbolũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=486,904,198,80&page=10;;※ simbolum
qͦ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1670,895,103,73&page=10;;※ quoque
